date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:06	95207/95207	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/robots.txt		(from )
23:14:07	304015/304015	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/	F:/Downloads/igenius/igenius.ai/index.html	(from )
23:14:07	463167/463167	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/component---src-layouts-index-js-4ff67e1f71c9e791dff4.js	F:/Downloads/igenius/igenius.ai/component---src-layouts-index-js-4ff67e1f71c9e791dff4.js	(from https://igenius.ai/)
23:14:08	680871/680871	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/component---src-pages-index-js-4140d5308d88c54fbaf2.js	F:/Downloads/igenius/igenius.ai/component---src-pages-index-js-4140d5308d88c54fbaf2.js	(from https://igenius.ai/)
23:14:08	141/141	---M--	200	added ('OK')	application/javascript	etag:%22ce13e06f270503ce9714f580f1305e89%22	https://igenius.ai/path---index-a0e39f21c11f6a62c5ab.js	F:/Downloads/igenius/igenius.ai/path---index-a0e39f21c11f6a62c5ab.js	(from https://igenius.ai/)
23:14:08	25136/25136	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/app-dcf6c24f8ff5c0b5e7bc.js	F:/Downloads/igenius/igenius.ai/app-dcf6c24f8ff5c0b5e7bc.js	(from https://igenius.ai/)
23:14:09	455622/455622	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/commons-e01455f2ac04cd662d93.js	F:/Downloads/igenius/igenius.ai/commons-e01455f2ac04cd662d93.js	(from https://igenius.ai/)
23:14:09	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22eb2cb75add0b212ee672e16723bac8ab%22	https://igenius.ai/static/favicon.eb2cb75a.ico	F:/Downloads/igenius/igenius.ai/static/favicon.eb2cb75a.ico	(from https://igenius.ai/)
23:14:09	15002/15002	---M--	200	added ('OK')	image/png	etag:%2245aace31fb82f2f94ae7c0bdcafb8423%22	https://igenius.ai/static/ms-icon-310x310.45aace31.png	F:/Downloads/igenius/igenius.ai/static/ms-icon-310x310.45aace31.png	(from https://igenius.ai/)
23:14:09	278557/278557	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/igenius.ai	F:/Downloads/igenius/igenius.ai/igenius.html	(from https://igenius.ai/)
23:14:10	4240/4240	---M--	200	added ('OK')	image/png	etag:%2212efea239594c3699add7b7ecbe68df0%22	https://igenius.ai/iGenius.png	F:/Downloads/igenius/igenius.ai/iGenius.png	(from https://igenius.ai/)
23:14:10	288709/288709	---M--	200	added ('OK')	image/png	etag:%22c828ab6f590d19632a7a11644cc3d8dc%22	https://igenius.ai/static/card-tw.c828ab6f.png	F:/Downloads/igenius/igenius.ai/static/card-tw.c828ab6f.png	(from https://igenius.ai/)
23:14:10	1273/1273	---MCZ	200	added ('OK')	text/xml	date:Fri,%2028%20Feb%202020%2014:38:09%20GMT	https://igenius.ai/sitemap.xml	F:/Downloads/igenius/igenius.ai/sitemap.xml	(from https://igenius.ai/)
23:14:10	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2009%20Mar%202020%2017:44:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	F:/Downloads/igenius/www.googletagmanager.com/gtm.b5445.delayed	(from https://igenius.ai/)
23:14:11	14525/14525	---M--	200	added ('OK')	binary/octet-stream	etag:%22f9b97c7a1c7613341471694a45c8f1b7%22	https://igenius.ai/static/GravitoniumSans-Light.f9b97c7a.eot	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-Light.f9b97c7a.eot	(from https://igenius.ai/)
23:14:11	28272/28272	---M--	200	added ('OK')	binary/octet-stream	etag:%2269a6973463ff86557173e35fb5bc4858%22	https://igenius.ai/static/GravitoniumSans-Light.69a69734.ttf	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-Light.69a69734.ttf	(from https://igenius.ai/)
23:14:11	15776/15776	---M--	200	added ('OK')	binary/octet-stream	etag:%22ba73cc23fe9f639f83b4c62a7154f370%22	https://igenius.ai/static/GravitoniumSans-Light.ba73cc23.woff	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-Light.ba73cc23.woff	(from https://igenius.ai/)
23:14:11	12920/12920	---M--	200	added ('OK')	binary/octet-stream	etag:%22771fb8340e4fd4c8d3584760ab70a128%22	https://igenius.ai/static/GravitoniumSans-Light.771fb834.woff2	F:/Downloads/igenius/igenius.ai/static/GravitoniumSans-Light.771fb834.woff2	(from https://igenius.ai/)
